Gene	C10_+DDM_-RNase_R1	C10_+DDM_-RNase_R2	C10_+DDM_+RNase_R1	C10_+DDM_+RNase_R2	C10_-DDM_-RNase_R1	C10_-DDM_-RNase_R2	C10_-DDM_+RNase_R1	C10_-DDM_+RNase_R2
Krt18	23.60959965	5.138865771	23.14139475	0	13.03958242	17.65415473	5.204510932	1.465147797
Gm19391	17.3376599	9.056197875	20.92540899	0	11.92374099	10.29318831	7.198862457	5.043951432
Gm25579	5.85336845	0	8.316763611	0	2.319473399	8.077416214	9.20609245	6.081745572
0610040B10Rik	6.922454754	5.722827791	6.386423875	0	5.029040052	3.502661395	6.949204937	3.729467119
Gm30108	3.565113392	3.944050479	5.970047017	0	4.578734735	0.901947755	3.818207794	2.381278586
Gm29345	1.819522158	8.288493179	5.493697957	0	0	0	0	1.890513286
Gata6os	2.484312536	4.475288509	5.184448988	0	1.16902388	2.799739728	3.451439932	1.349285258
2900009J06Rik	5.71345643	0	4.749875769	0	3.974097742	5.289779182	5.468101464	1.641975979
Gm41541	2.477254829	0	4.281306943	0	0	0	0	0
Panx1	2.745505482	3.12046789	4.115795968	0	3.850884752	2.310724947	5.988322819	3.191550863
Gm41912	2.679473451	0	3.859560891	0	0	0	0.157141031	0.330307072
Mir7671	1.945006444	4.430056699	3.799900615	0	1.059759398	5.904869784	2.243323677	1.010446756
9630013D21Rik	4.936147132	5.507732242	3.792427851	0	2.719736508	0.841893922	3.070507924	6.569394251
Gm40733	4.71341686	4.57813318	3.729046115	0	2.462037717	1.340285821	2.695706629	0.40473696
H2bc21	2.960902199	0.154146705	3.470775365	0	0	1.883418034	0.390289534	0.835029865
Pigw	2.577933587	6.482298688	3.223316061	0	3.887980182	2.253997826	2.568954208	2.07852777
Gm33509	3.719023311	1.532785709	3.1138903	0	0	0	0.306388006	1.196039018
Ccdc74a	2.273454371	1.464166064	2.871710854	0	2.221149649	1.864335769	2.802985387	1.710526962
Cbr2	2.091119124	0.100270552	2.848998657	0	1.259304338	1.55926968	0.888575037	1.658118482
LOC118568484	2.45239943	0.186190789	2.794854438	0	0	0	1.885692367	0.849361042
Defb25	1.155055022	0.876939551	2.632695648	0	0	0.974068394	1.554248145	1.000100885
Gm25633	1.581453838	0	2.574699015	0	0	0	0	0
Platr14	2.906468145	5.699877318	2.550413645	0	2.576742501	0	1.534080733	2.098552303
Cysrt1	2.166652505	0.328992687	2.469205586	0	0.865718945	2.484934532	0.333195322	0.375197899
4930529L06Rik	0.759665817	0	2.411721434	0	5.173909519	0	2.190450729	0
Gm40228	2.166454366	0	2.343011422	0	0	0	2.052533461	0.241176592
Gm35347	0.521580328	0.475192343	2.32913327	0	0	0.527824115	0	0
Gm15545	2.794385405	0	2.224162012	0	0.845863006	0.104734693	0.417793309	1.182871616
Mir23a	0	0	2.203942357	0	0	0	0.867418489	0
Cfhr1	3.940547121	0	2.195034969	0	0.248419351	0.065912711	0.075122848	0
